"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "XML", "MS SQL", "comment", "blank", "total"
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207035655_drop_unused_indexes.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 19, 2, 55
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207035712_fix_function_search_paths.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 2, 29
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207050206_add_email_digest_log_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 25, 5, 58
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207050332_add_email_digest_cron_schedule.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 14, 8, 65
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207052236_add_pricing_plan_to_accounts.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 11, 2, 24
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207054304_add_lead_photos_table_and_storage.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 37, 12, 111
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207060337_auto_convert_lead_when_estimate_and_photos.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 19, 11, 113
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207060819_add_photo_type_to_lead_photos.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 12, 8, 66
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207065125_add_estimate_job_tracking.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 17, 9, 75
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207072235_fix_estimate_job_status_to_completed.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 19, 8, 69
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207072755_fix_auto_create_estimate_skip_estimate_visits.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 14, 4, 59
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207080612_add_is_estimate_visit_column.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 17, 6, 55
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207081106_cascade_delete_estimate_job_on_lead_delete.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 18, 4, 40
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207081420_fix_estimate_job_cleanup_trigger.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 4, 31
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207082401_add_is_active_to_account_members_view.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 3, 29
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207082548_fix_account_members_view_join_column.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 10, 3, 29
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207091204_add_notifications_delete_policy.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 1, 23
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207092105_make_notifications_user_specific.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 186, 40, 22, 248
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207093229_scope_crew_notifications_to_assigned_jobs.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 187, 29, 20, 236
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207093716_fix_create_user_notifications_overload.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 1, 15
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207094347_add_fk_indexes_fix_rls_performance_and_search_path.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 35, 13, 164
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207101244_update_auto_convert_to_mark_estimate_job_paid.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 14, 8, 63
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207102112_add_completed_to_unified_status.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 15, 9, 66
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207104638_add_client_share_token_to_leads.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 13, 3, 28
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207110343_fix_security_issues_drop_unused_indexes_and_fix_view.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 54, 29, 139
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207223149_fix_account_members_select_policy.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 2, 27
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207223608_restrict_crew_member_leads_access.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 2, 47
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207223621_restrict_crew_member_schedules_access.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 2, 47
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207223716_restrict_crew_member_related_data_access_v2.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 28, 8, 145
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260207230946_add_declined_to_estimate_status.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 2, 22
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260208210207_convert_lead_to_estimate_job_flow.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 26, 19, 142
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210175632_transfer_client_share_token_on_conversion.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 15, 19, 121
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210181017_add_stripe_invoice_fields_to_invoices.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 3, 30
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210181404_fix_account_members_view_add_id_column.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 3, 32
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210193229_add_tax_rate_to_accounts.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 2, 22
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210195427_add_job_checklist_items.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 30, 17, 168
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210200646_add_upload_before_photos_checklist_item.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 11, 4, 35
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210202753_fix_auto_conversion_for_completed_estimate_visits.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 18, 24, 162
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260210202955_revert_auto_complete_skip_for_estimate_visits.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 15, 5, 46
"/Users/lucasgaldine/Desktop/AI Agency/LeadSig/remix-of-leadsig-crm/supabase/migrations/20260211011816_add_recurring_jobs_table.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 38, 10, 133
